=== HSK1 ===
爱|ài|yêu
张|zhāng|mở ra, trang, bức
丈夫|zhàngfu|chồng
找|zhǎo|tìm
着|zhe|đang, đây, chứ nhé
真|zhēn|thật, chính xác
正在|zhèngzài|đang
知道|zhīdào|biết, hiểu rõ
准备|zhǔnbèi|chuẩn bị
自行车|zìxíngchē|xe đạp
走|zǒu|đi, đi bộ
最|zuì|nhất
左边|zuǒbian|bên trái

=== HSK3 ===
阿姨|āyí|dì
矮|ǎi|thấp
爱好|àihào|sở thích
安静|ānjìng|yên tĩnh
把|bǎ|cái (lượng từ cho vật có tay cầm)
半|bàn|nửa
班|bān|lớp
搬|bān|chuyển, bê
办法|bànfǎ|cách làm
办公室|bàngōngshì|văn phòng
帮忙|bāngmáng|giúp đỡ
饱|bǎo|no
包|bāo|gói
被|bèi|bị, được
北方|běifang|miền Bắc
笔记本|bǐjìběn|máy tính xách tay
比较|bǐjiào|tương đối, khá
比赛|bǐsài|thi đấu, trận đấu
必须|bìxū|nhất thiết
鼻子|bízi|mũi
变化|biànhuà|thay đổi
别人|biérén|người khác
冰箱|bīngxiāng|tủ lạnh
不但……而且……|bùdàn……érqiě……|không những……mà còn
菜单|càidān|thực đơn
参加|cānjiā|tham gia
草|cǎo|cỏ
层|céng|tầng
差|chā|kém
超市|chāoshì|siêu thị
衬衫|chènshān|áo sơ mi
成绩|chéngjì|thành tích
城市|chéngshì|thành phố
迟到|chídào|đến muộn
除了|chúle|trừ…..ra
船|chuán|thuyền
春|chūn|xuân
词典|cídiǎn|từ điển
聪明|cōngmíng|thông minh
打扫|dǎsǎo|quét dọn
打算|dǎsuàn|dự định
带|dài|mang theo
蛋糕|dàngāo|bánh ga tô
担心|dānxīn|lo lắng
当然|dāngrán|đương nhiên
灯|dēng|đèn
地|dì|trợ từ
地方|dìfāng|nơi, địa phương
地铁|dìtiě|tàu điện ngầm
地图|dìtú|bản đồ
电梯|diàntī|thang máy
电子邮件|diànzǐyóujiàn|hòm thư điện tử
东|dōng|phía đông
冬|dōng|mùa đông
动物|dòngwù|động vật
段|duàn|đoạn
短|duǎn|ngắn
锻炼|duànliàn|rèn luyện
多么|duōme|biết bao
饿|è|đói
耳朵|ěrduo|tai
发|fā|phát
发烧|fāshāo|sốt
发现|fāxiàn|phát hiện
放|fàng|đặt, để
方便|fāngbiàn|tiện lợi
放心|fàngxīn|yên tâm
分|fēn|phút
附近|fùjìn|phụ cận
复习|fùxí|ôn tập
干净|gānjìng|sạch sẽ
感冒|gǎnmào|cúm
感兴趣|gǎnxìngqù|có hứng thú
刚才|gāngcái|lúc nãy
个子|gèzi|dáng dấp
跟|gēn|cùng với
根据|gēnjù|căn cứ
更|gèng|càng
公斤|gōngjīn|kg
公园|gōngyuán|công viên
故事|gùshi|câu chuyện
刮风|guāfēng|gió thổi
关|guān|đóng, tắt
关系|guānxì|quan hệ
关心|guānxīn|quan tâm
关于|guānyú|về….
过|guò|đã từng
国家|guójiā|nước, quốc gia
过去|guòqù|quá khứ, qua đó
还|hái|vẫn
害怕|hàipà|sợ hãi
还是|háishì|hay là, vẫn
黑板|hēibǎn|bảng đen
后来|hòulái|sau này
护照|hùzhào|hộ chiếu
画|huà|tranh
花|huā|tiêu (động từ)
花|huā|hoa (danh từ)
坏|huài|xấu, hỏng
换|huàn|đổi
环境|huánjìng|môi trường
欢迎|huānyíng|hoan nghênh
黄河|huánghé|Hoàng Hà
回答|huídá|trả lời
会议|huìyì|hội nghị, họp
或者|huòzhě|hoặc
极|jí|cực
记得|jìdé|nhớ
几乎|jīhū|dường như, gần như
机会|jīhuì|cơ hội
季节|jìjié|mùa
检查|jiǎnchá|kiểm tra
简单|jiǎndān|đơn giản
健康|jiànkāng|khỏe mạnh
见面|jiànmiàn|gặp mặt
讲|jiǎng|giảng, kể
教|jiào|dạy
脚|jiǎo|chân
角|jiǎo|hào
借|jiè|mượn
接|jiē|tiếp, đón
街道|jiēdào|đường phố
结婚|jiéhūn|kết hôn
解决|jiějué|giải quyết
节目|jiémù|tiết mục
节日|jiérì|ngày lễ
结束|jiéshù|kết thúc
经常|jīngcháng|thường xuyên
经过|jīngguò|đi qua, trải qua
经理|jīnglǐ|giám đốc
旧|jiù|cũ
久|jiǔ|lâu
句子|jùzi|câu
决定|juédìng|quyết định
刻|kè|khắc
渴|kě|khát
可爱|kěài|đáng yêu
客人|kèrén|khách
空调|kōngtiáo|điều hòa
口|kǒu|miệng
哭|kū|khóc
裤子|kùzi|quần
筷子|kuàizi|đũa
蓝|lán|màu xanh lam
老|lǎo|già
离开|líkāi|rời đi
历史|lìshǐ|lịch sử
礼物|lǐwù|quà
脸|liǎn|khuôn mặt
练习|liànxí|bài tập
辆|liàng|cái (lượng từ dành cho xe)
了解|liǎojiě|tìm hiểu
聊天|liáotiān|buôn chuyện
邻居|línjū|hàng xóm
留学|liúxué|du học
楼|lóu|tòa nhà
绿|lǜ|màu xanh lục
马|mǎ|ngựa
马上|mǎshàng|ngay lập tức
满意|mǎnyì|mãn nguyện, hài lòng
帽子|màozi|mũ
米|mǐ|mét
面包|miànbāo|bánh mì
明白|míngbái|hiểu
拿|ná|cầm
奶奶|nǎinǎi|bà nội
南|nán|phía nam
难|nán|khó
难过|nánguò|buồn
年级|niánjí|năm thứ
年轻|niánqīng|trẻ trung
鸟|niǎo|chim
努力|nǔlì|nỗ lực
爬山|páshān|leo núi
盘子|pánzi|cái đĩa
胖|pàng|béo
啤酒|píjiǔ|bia
皮鞋|píxié|giày da
瓶子|píngzi|cái bình
骑|qí|cưỡi, đi, lái (xe đạp, xe máy)
起飞|qǐfēi|cất cánh
奇怪|qíguài|kì quặc
起来|qǐlái|thức dậy
其实|qíshí|thực ra
其他|qítā|khác
清楚|qīngchǔ|rõ ràng
请假|qǐngjià|xin nghỉ
秋|qiū|mùa thu
裙子|qúnzi|váy
然后|ránhòu|sau đó
热情|rèqíng|nhiệt tình
认为|rènwéi|cho rằng
认真|rènzhēn|chăm chỉ
容易|róngyì|dễ dàng
如果|rúguǒ|nếu
伞|sǎn|ô
上网|shàngwǎng|lên mạng
生气|shēngqì|tức giận
声音|shēngyīn|âm thanh
试|shì|thử
世界|shìjiè|thế giới
瘦|shòu|gầy
树|shù|cây
舒服|shūfu|thoải mái, dễ chịu
叔叔|shūshu|chú
数学|shùxué|toán học
刷牙|shuāyá|đánh răng
双|shuāng|đôi
水平|shuǐpíng|trình độ
司机|sījī|lái xe
太阳|tàiyáng|mặt trời
特别|tèbié|đặc biệt
疼|téng|đau
提高|tígāo|nâng cao
体育|tǐyù|thể dục
甜|tián|ngọt
条|tiáo|con, chiếc
同事|tóngshì|đồng nghiệp
同意|tóngyì|đồng ý
头发|tóufà|tóc
突然|tūrán|đột nhiên
图书馆|túshūguǎn|thư viện
腿|tuǐ|chân
万|wàn|vạn
碗|wǎn|bát
完成|wánchéng|hoàn thành
忘记|wàngjì|quên
为|wéi|vì
位|wèi|vị
为了|wèile|để
文化|wénhuà|văn hóa
西|xī|phía tây
习惯|xíguàn|quen, thói quen
洗手间|xǐshǒujiān|phòng vệ sinh
洗澡|xǐzǎo|tắm rửa
夏|xià|mùa hè
先|xiān|trước tiên
像|xiàng|giống
向|xiàng|hướng về
香蕉|xiāngjiāo|chuối
相信|xiāngxìn|tin tưởng
小心|xiǎoxīn|cẩn thận
校长|xiàozhǎng|hiệu trưởng
新闻|xīnwén|tin tức
新鲜|xīnxiān|tươi mới
信用卡|xìnyòngkǎ|thẻ tín dụng
行李箱|xínglǐxiāng|va li
熊猫|xióngmāo|gấu trúc
需要|xūyào|cần thiết
选择|xuǎnzé|chọn lựa
要求|yāoqiú|yêu cầu
爷爷|yéye|ông nội
一般|yībān|bình thường
一边|yībiān|một bên
一定|yīdìng|nhất định
一共|yīgòng|tổng cộng
一会儿|yíhuìr|một lúc
以前|yǐqián|trước đây
一样|yíyàng|giống nhau
一直|yìzhí|cứ
银行|yínháng|ngân hàng
饮料|yǐnliào|đồ uống
音乐|yīnyuè|âm nhạc
应该|yīnggāi|nên
影响|yǐngxiǎng|ảnh hưởng
用|yòng|dùng
又|yòu|lại
有名|yǒumíng|nổi tiếng
游戏|yóuxì|trò chơi
遇到|yùdào|gặp được
元|yuán|đồng
愿意|yuànyì|bằng lòng
越|yuè|càng
月亮|yuèliàng|mặt trăng
站|zhàn|trạm, bến
张|zhāng|Trương, cái, tấm
长（动词）|zhǎng（dòngcí）|lớn
照顾|zhàogù|chăm sóc
着急|zháojí|sốt ruột, vội vàng
照片|zhàopiàn|ảnh
照相机|zhàoxiàngjī|máy ảnh
只|zhī|chỉ
只（量词）|zhī|con (lượng từ cho con vật)
只有……才……|zhǐyǒu……cái……|chỉ có…mới…
种（量词）|zhǒng（liàngcí）|loại
中间|zhōngjiān|ở giữa
重要|zhòngyào|quan trọng
周末|zhōumò|cuối tuần
注意|zhùyì|chú ý
准备|zhǔnbèi|chuẩn bị
字|zì|chữ
自己|zìjǐ|bản thân
综合|zōnghé|tổng hợp
坐|zuò|ngồi
昨天|zuótiān|hôm qua
作业|zuòyè|bài tập

=== HSK4 ===
爱情|àiqíng|tình yêu
按照|ànzhào|dựa vào, theo
按时|ànshí|đúng hạn
安排|ānpái|sắp xếp
安全|ānquán|an toàn
百分之|bǎifēnzhī|phần trăm (%)
饼干|bǐnggān|bánh
部分|bùfèn|bộ phận, phần
遍|biàn|lần, lượt
表示|biǎoshì|biểu thị, cho thấy
表演|biǎoyǎn|biểu diễn
表格|biǎogé|bảng biểu
表扬|biǎoyáng|tuyên dương
笨|bèn|ngốc nghếch
毕业|bìyè|tốt nghiệp
比如|bǐrú|ví dụ như
棒|bàng|cây gậy
标准|biāozhǔn|tiêu chuẩn
本来|běnlái|vốn có
抱歉|bàoqiàn|xin lỗi
抱|bào|ôm
报名|bàomíng|đăng kí
并且|bìngqiě|đồng thời
博士|bóshì|tiến sĩ
包子|bāozi|bánh bao
倍|bèi|lần
保证|bǎozhèng|đảm bảo, cam đoan
保护|bǎohù|che chở, bảo vệ
不过|bùguò|nhưng
不管|bùguǎn|bất kể
不得不|bùdébù|đành
不仅|bùjǐn|không những
擦|cā|lau
餐厅|cāntīng|căng tin, nhà ăn
长江|Chángjiāng|Trường Giang
长城|Chángchéng|Trường Thành
错误|cuòwù|sai lầm
重新|chóngxīn|làm lại
超过|chāoguò|vượt trên
诚实|chéngshí|trung thực
词语|cíyǔ|từ ngữ
粗心|cūxīn|thô lỗ, cẩu thả
窗户|chuānghù|cửa sổ
猜|cāi|đoán
材料|cáiliào|tài liệu
抽烟|chōuyān|hút thuốc
成功|chénggōng|thành công
成为|chéngwéi|trở thành
差不多|chàbùduō|gần như
尝|cháng|nếm thử
存|cún|giữ, tiết kiệm, tồn
场|chǎng|trận, suất
吃惊|chījīng|ngạc nhiên
参观|cānguān|tham quan
厨房|chúfáng|phòng bếp
厕所|cèsuǒ|phòng vệ sinh
出生|chūshēng|ra đời
出现|chūxiàn|xuất hiện
出差|chūchāi|đi công tác
出发|chūfā|xuất phát
传真|chuánzhēn|fax, bản fax
从来|cónglái|từ trước đến nay
乘坐|chéngzuò|ngồi xe
答案|dáàn|đáp án
道歉|dàoqiàn|xin lỗi
调查|diàochá|điều tra
肚子|dùzi|bụng
等|děng|vân vân
短信|duǎnxìn|tin nhắn
登机牌|dēngjīpái|thẻ lên tàu
掉|diào|rơi
打针|dǎzhēn|tiêm
打招呼|dǎzhāohū|chào hỏi
打折|dǎzhé|giảm giá
打扰|dǎrǎo|làm phiền
打扮|dǎbàn|trau chuốt, trang điểm
打印|dǎyìn|in ấn
戴|dài|đeo
得意|déyì|đắc ý
得|de|trợ từ
当时|dāngshí|lúc đó
当|dāng|làm
底|dǐ|đáy
导游|dǎoyóu|hướng dẫn viên du lịch
对面|duìmiàn|đối diện
对话|duìhuà|hội thoại, đối thoại
对于|duìyú|về (vấn đề gì đó)
大约|dàyuē|khoảng
大概|dàgài|khoảng
大夫|dàifū|bác sĩ, đại phu
大使馆|dàshǐguǎn|đại sứ quán
堵车|dǔchē|tắc đường
地球|dìqiú|địa cầu
地点|dìdiǎn|địa điểm
地址|dìzhǐ|địa chỉ
动作|dòngzuò|động tác
到底|dàodǐ|cuối cùng
到处|dàochù|khắp nơi
刀|dāo|cái dao
倒|dǎo|đổ, ngã
低|dī|thấp
丢|diū|mất
儿童|értóng|trẻ con
而|ér|còn
发生|fāshēng|xảy ra
负责|fùzé|phụ trách
翻译|fānyì|phiên dịch
符合|fúhé|phù hợp
父亲|fùqīn|bố
烦恼|fánnǎo|phiền não
法律|fǎlǜ|pháp luật
方面|fāngmiàn|phương diện
方法|fāngfǎ|phương pháp
方向|fāngxiàng|phương hướng
放松|fàngsōng|thư giãn
放暑假|fàngshǔjià|nghỉ hè
放弃|fàngqì|vứt bỏ, từ bỏ
房东|fángdōng|chủ nhà
富|fù|giàu
复杂|fùzá|phức tạp
复印|fùyìn|phô tô
否则|fǒuzé|nếu không thì
发展|fāzhǎn|phát triển
反对|fǎnduì|phản đối
份|fèn|phần
付款|fùkuǎn|thanh toán
丰富|fēngfù|phong phú
改变|gǎibiàn|thay đổi
鼓励|gǔlì|cổ vũ
高速公路|gāosùgōnglù|đường cao tốc
顾客|gùkè|khách hàng
逛|guàng|đi dạo
过程|guòchéng|quá trình
赶|gǎn|đuổi theo
购物|gòuwù|mua sắm
规定|guīdìng|qui định
观众|guānzhòng|khán giả
胳膊|gēbo|cánh tay
管理|guǎnlǐ|quản lý
果汁|guǒzhī|nước hoa quả
敢|gǎn|dám
故意|gùyì|cố ý
挂|guà|treo
感谢|gǎnxiè|cảm ơn
感觉|gǎnjué|cảm giác
感情|gǎnqíng|tình cảm
感动|gǎndòng|cảm động
广播|guǎngbō|phát thanh
广告|guǎnggào|quảng cáo
干杯|gānbēi|cạn ly
干|gān|khô
工资|gōngzī|lương
够|gòu|đủ
国际|guójì|quốc tế
国籍|guójí|quốc tịch
各|gè|các
功夫|gōngfū|công phu
刚|gāng|vừa mới
关键|guānjiàn|quan trọng
共同|gòngtóng|giống nhau
公里|gōnglǐ|km
光|guāng|chỉ, hết
估计|gūjì|ước lượng
海洋|hǎiyáng|đại dương
获得|huòdé|giành được
航班|hángbān|chuyến bay
盒子|hézi|cái hộp
火|huǒ|lửa
活泼|huópō|hoạt bát
活动|huódòng|hoạt động
汗|hàn|mồ hôi
护士|hùshì|y tá
怀疑|huáiyí|nghi ngờ
寒假|hánjià|kì nghỉ đông
害羞|hàixiū|xấu hổ
好处|hǎochù|cái tốt
好像|hǎoxiàng|dường như
回忆|huíyì|hồi ức, nhớ lại
后悔|hòuhuǐ|hối hận
合适|héshì|thích hợp
合格|hégé|đạt yêu cầu
号码|hàomǎ|số
厚|hòu|dày
互联网|hùliánwǎng|mạng internet
互相|hùxiāng|lẫn nhau
积极|jījí|tích cực
骄傲|jiāoào|tự hào, kiêu ngạo
饺子|jiǎozi|sủi cảo
降落|jiàngluò|hạ cánh
降低|jiàngdī|hạ thấp
镜子|jìngzi|kính
郊区|jiāoqū|ngoại ô
进行|jìnxíng|tiến hành
距离|jùlí|khoảng cách
记者|jìzhě|phóng viên
计划|jìhuà|kế hoạch
警察|jǐngchá|cảnh sát
解释|jiěshì|giải thích
节约|jiéyuē|tiết kiệm
节|jié|tiết
聚会|jùhuì|tụ tập
继续|jìxù|tiếp tục
结果|jiéguǒ|kết quả
经验|jīngyàn|kinh nghiệm
经济|jīngjì|kinh tế
经历|jīnglì|trải qua, kinh qua
紧张|jǐnzhāng|căng thẳng
精彩|jīngcǎi|hấp dẫn
竟然|jìngrán|mà lại
竞争|jìngzhēng|cạnh tranh
究竟|jiūjìng|rốt cuộc
积累|jīlěi|tích lũy
禁止|jìnzhǐ|cấm
激动|jīdòng|xúc động
景色|jǐngsè|cảnh sắc
既然|jìrán|đã….
教育|jiàoyù|giáo dục
教授|jiàoshòu|giáo sư
接着|jiēzhe|tiếp theo
接受|jiēshòu|tiếp nhận
拒绝|jùjué|từ chối
技术|jìshù|kỹ thuật
建议|jiànyì|kiến nghị
尽管|jǐnguǎn|tuy rằng
将来|jiānglái|tương lai
寄|jì|gửi
家具|jiājù|đồ gia dụng
奖金|jiǎngjīn|học bổng
基础|jīchǔ|cơ sở, căn bản
坚持|jiānchí|kiên trì
及时|jíshí|kịp thời
即使|jíshǐ|cho dù
加班|jiābān|tăng ca
加油站|jiāyóuzhàn|cây xăng
减肥|jiǎnféi|giảm béo
减少|jiǎnshǎo|cắt giảm
假|jiǎ|giả
价格|jiàgé|giá cả
京剧|jīngjù|kinh kịch
交通|jiāotōng|giao thông
交流|jiāoliú|giao lưu
交|jiāo|giao
举行|jǔxíng|tổ chức
举办|jǔbàn|tổ chức
举|jǔ|giơ, nâng
开玩笑|kāiwánxiào|đùa
苦|kǔ|khổ, đắng
肯定|kěndìng|khẳng định
考虑|kǎolǜ|suy nghĩ
空气|kōngqì|không khí
空|kōng|trống rỗng
科学|kēxué|khoa học
矿泉水|kuàngquánshuǐ|nước khoáng
看法|kànfǎ|quan điểm
烤鸭|kǎoyā|vịt quay
棵|kē|lượng từ cho cây
恐怕|kǒngpà|e rằng
开心|kāixīn|vui vẻ
客厅|kètīng|phòng khách
困难|kùnnán|khó khăn
困|kùn|buồn ngủ
咳嗽|késou|ho
可是|kěshì|nhưng
可惜|kěxī|đáng tiếc
可怜|kělián|đáng thương
垃圾桶|lājītǒng|thùng rác
零钱|língqián|tiền lẻ
连|lián|liên kết, nối
辣|là|cay
联系|liánxì|liên hệ
老虎|lǎohǔ|hổ
礼貌|lǐmào|lễ phép, lịch sự
礼拜天|lǐbàitiān|chủ nhật
留|liú|lưu lại, ở lại
理解|lǐjiě|lý giải, hiểu
理想|lǐxiǎng|lý tưởng
理发|lǐfà|cắt tóc
浪费|làngfèi|lãng phí
浪漫|làngmàn|lãng mạn
流行|liúxíng|thịnh hành
流利|liúlì|lưu loát
来自|láizì|đến từ
来得及|láidejí|kịp
来不及|láibùjí|không kịp
旅行|lǚxíng|du lịch
拉|lā|kéo
懒|lǎn|lười biếng
律师|lǜshī|luật sư
另外|lìngwài|ngoài ra, còn lại
厉害|lìhài|lợi hại
力气|lìqì|sức lực
凉快|liángkuài|mát mẻ
冷静|lěngjìng|bình tĩnh
俩|liǎ|hai người
例如|lìrú|ví dụ
乱|luàn|loạn
麻烦|máfan|phiền phức, làm phiền
马虎|mǎhu|qua loa
迷路|mílù|lạc đường
美丽|měilì|đẹp
秒|miǎo|giây
目的|mùdì|mục đích
满|mǎn|đầy
民族|mínzú|dân tộc
毛巾|máojīn|khăn bông
毛|máo|lông
母亲|mǔqin|mẹ
梦|mèng|giấc mơ, mơ
密码|mìmǎ|mật khẩu
免费|miǎnfèi|miễn phí
耐心|nàixīn|nhẫn nại
难道|nándào|lẽ nào
难受|nánshòu|buồn
能力|nénglì|năng lực
暖和|nuǎnhuo|ấm áp
弄|nòng|làm
年龄|niánlíng|tuổi tác
内容|nèiróng|nội dung
内|nèi|bên trong
偶尔|ǒuěr|đôi khi
排队|páiduì|xếp hàng
骗|piàn|lừa
陪|péi|cùng
葡萄|pútáo|nho
脾气|píqì|tính khí
篇|piān|lượng từ cho bài viết
破|pò|rách, nổ
皮肤|pífū|da
普遍|pǔbiàn|phổ biến
普通话|pǔtōnghuà|tiếng phổ thông
排列|páiliè|liệt kê
