你叫什么名字？|Tên bạn là gì?
你喜欢吃包子吗？|Bạn thích ăn bánh bao không?
他喜欢喝奶茶吗？|Anh ấy thích uống trà sữa không?
你们说汉语吗？|Các bạn nói tiếng Hán không?
她们是学生吗？|Họ (nữ) là học sinh phải không?
老师姓陈吗？|Giáo viên họ Trần phải không?
你喝红茶吗？|Bạn uống hồng trà không?
他喜欢游泳吗？|Anh ấy thích bơi lội không?
你们吃水果吗？|Các bạn ăn trái cây không?
你喜欢音乐吗？|Bạn thích âm nhạc không?
我们都说越南语。|Chúng tôi đều nói tiếng Việt.
他们都喜欢吃炒饭。|Họ đều thích ăn cơm rang.
她们都不是医生。|Họ (nữ) đều không phải là bác sĩ.
学生们都喜欢喝牛奶。|Các học sinh đều thích uống sữa.
我们都不吃火锅。|Chúng tôi đều không ăn lẩu.
我喜欢喝茶，他也喜欢喝茶。|Tôi thích uống trà, anh ấy cũng thích uống trà.
他是学生，我也是学生。|Anh ấy là học sinh, tôi cũng là học sinh.
老师说汉语，学生也说汉语。|Giáo viên nói tiếng Hán, học sinh cũng nói tiếng Hán.
她姓陈，我也姓陈。|Cô ấy họ Trần, tôi cũng họ Trần.
我不吃面包，他也不吃面包。|Tôi không ăn bánh mì, anh ấy cũng không ăn bánh mì.
你喜欢游泳，我也喜欢游泳。|Bạn thích bơi lội, tôi cũng thích bơi lội.
她不是中国人，我也不是中国人。|Cô ấy không phải người Trung Quốc, tôi cũng không phải người Trung Quốc.
我喝牛奶，他也喝牛奶。|Tôi uống sữa, anh ấy cũng uống sữa.
他们喜欢唱歌，我们也喜欢唱歌。|Họ thích ca hát, chúng tôi cũng thích ca hát.
你叫陈楠，他也叫陈楠。|Bạn tên Trần Nam, anh ấy cũng tên Trần Nam.
那是什么？|Kia là cái gì?
那是越南语书。|Kia là sách tiếng Việt.
请问，您贵姓？|Xin hỏi, quý danh của ngài là gì?
请问，那是谁？|Xin hỏi, kia là ai?
请问，这是什么水果？|Xin hỏi, đây là loại trái cây gì?
请问，你喝什么茶？|Xin hỏi, bạn uống trà gì?
请问，你喜欢吃什么？|Xin hỏi, bạn thích ăn gì?
对不起，我不说英语。|Xin lỗi, tôi không nói tiếng Anh.
你好，请喝茶。|Chào bạn, mời uống trà.
谢谢，我不喝茶。|Cảm ơn, tôi không uống trà.
你们喜欢喝可乐吗？|Các bạn thích uống Coca Cola không?
他不喜欢吃面条，他喜欢吃炒饭。|Anh ấy không thích ăn mì sợi, anh ấy thích ăn cơm rang.
