谢谢你。|Xièxie nǐ.|Cảm ơn bạn.
我姐姐是司机。|Wǒ jiějie shì sījī.|Chị gái tôi là tài xế.
我弟弟不是护士。|Wǒ dìdi bú shì hùshi.|Em trai tôi không phải y tá.
我爷爷是消防员，我爸爸是警察。|Wǒ yéye shì xiāofángyuán, wǒ bàba shì jǐngchá.|Ông nội tôi là lính cứu hỏa, bố tôi là cảnh sát.
我奶奶不是工人，我爷爷是工人。|Wǒ nǎinai bú shì gōngrén, wǒ yéye shì gōngrén.|Bà nội tôi không phải công nhân, ông nội tôi là công nhân.
你爸爸是农民吗？|Nǐ bàba shì nóngmín ma?|Bố bạn là nông dân phải không?
我爸爸不是农民，我爸爸是工人。|Wǒ bàba bú shì nóngmín, wǒ bàba shì gōngrén.|Bố tôi không phải nông dân, bố tôi là công nhân.
我妈妈是公务员。|Wǒ māma shì gōngwùyuán.|Mẹ tôi là công chức.
我哥哥不是医生，我哥哥是护士。|Wǒ gēge bú shì yīshēng, wǒ gēge shì hùshi.|Anh trai tôi không phải bác sĩ, anh trai tôi là y tá.
你姐姐是记者吗？|Nǐ jiějie shì jìzhě ma?|Chị gái bạn là phóng viên phải không?
我姐姐不是记者，我姐姐是公务员。|Wǒ jiějie bú shì jìzhě, wǒ jiějie shì gōngwùyuán.|Chị gái tôi không phải phóng viên, chị gái tôi là công chức.
我弟弟是公安。|Wǒ dìdi shì gōng'ān.|Em trai tôi là công an.
我妹妹不是警察。|Wǒ mèimei bú shì jǐngchá.|Em gái tôi không phải cảnh sát.
你爷爷是律师吗？|Nǐ yéye shì lǜshī ma?|Ông nội bạn là luật sư phải không?
我爸爸是厨师。|Wǒ bàba shì chúshī.|Bố tôi là đầu bếp.
我妈妈不是演员。|Wǒ māma bú shì yǎnyuán.|Mẹ tôi không phải diễn viên.
你哥哥是司机吗？|Nǐ gēge shì sījī ma?|Anh trai bạn là tài xế phải không?
我姐姐是护士，我哥哥是医生。|Wǒ jiějie shì hùshi, wǒ gēge shì yīshēng.|Chị gái tôi là y tá, anh trai tôi là bác sĩ.
你妹妹是消防员吗？|Nǐ mèimei shì xiāofángyuán ma?|Em gái bạn là lính cứu hỏa phải không?
我爷爷是工人，我奶奶是农民。|Wǒ yéye shì gōngrén, wǒ nǎinai shì nóngmín.|Ông nội tôi là công nhân, bà nội tôi là nông dân.
我奶奶不是农民。|Wǒ nǎinai bú shì nóngmín.|Bà nội tôi không phải nông dân.
